id	twitter	name	h_index	h_2014	i10_index	i10_2014	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
513522970	abasilak	Andreas Vasilakis	7	7	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	9	10	23	29	23	15	22	15
258799518	abasu007	Arnab Basu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107562677	abdallah_dib	Abdallah Dib	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	6	3	2	5	16	6	4
30902397	abdulawal	Mohammad Abdul Awal	7	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	9	6	13	11	48	23	11	9	23	4	8	7	12
55677699	AbdullahRashed	Abdullah Rashed	6	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	3	4	3	4	13	14	8	11	4	11	8
417027599	abdulrahman6484	Abdul Rahman	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10759032	abdur	Abdur Chowdhury	45	30	95	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	36	76	80	121	202	302	320	458	498	582	567	679	637	659	700	523	382	273
911294089	AbduSalamSayyad	Abdel Salam Sayyad	7	7	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	59	69	83	63	115	87
89009058	abeastinme	Jose Sanchez	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	2	5	29
12241142	abegel	Andrew Begel	29	27	54	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	9	15	17	44	48	53	61	78	111	142	176	215	215	301	382	362	355	434	431
10411342	abelardopardo	Abelardo Pardo	33	25	99	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	79	123	148	180	126	126	146	139	156	148	149	161	161	138	171	214	226	240	265	285	380	462	559	647
25029949	abentolima	Alexandre A. B. Lima	12	7	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	3	3	1	4	9	9	15	32	35	40	85	47	40	28	34	30	35	24	25
688183	abergstrom	Tony Bergstrom	10	8	10	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	26	53	41	41	48	50	50	51	47	61	50	49
16251657	abgoldberg	Andrew B. Goldberg	24	18	41	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	24	19	24	14	10	15	6	11	10	25	55	104	208	228	300	296	343	389	421	429	453	445
14786323	abhi2610	Abhinav Shrivastava	15	15	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	48	103	188	219	415	796	1127
32927757	abhiag	Abhinav Agarwal	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	5	3	2	3	9
132520269	abhik1368	Abhik Seal	7	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	10	14	21	19	24	43	48	29
38226810	abhinavdhall	Abhinav Dhall	26	25	43	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	35	112	130	253	393	410	560	572
273080054	abhinavgolas	Abhinav Golas	9	7	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	3	19	41	49	64	75	91	96	84	86	86
48997191	abhinavgupta	Abhinav Gupta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
278239831	abhinay_n	Abhinay Nagpal	14	12	20	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	15	5	2	5	4	1	4	4	9	34	44	62	100	123	80	37
146142332	Abhinon	Abhinav Kumar	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	4	6	6
98465563	AbhishekAnand4	Abhishek Anand	9	8	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	34	57	114	121	121	86	136	119
19590625	AbhishekTantra	Abhishek Chandra	29	20	46	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	30	48	75	96	108	125	136	148	191	260	295	302	344	300	293	296	270	254
613776729	AbhishektripMe	Abhishek Tripathi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
161042551	abhisri14	Abhishek Srivastav	10	9	13	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	11	5	15	13	23	17	33	46	38	46	37
143319983	abifet	Albert Bifet	39	37	79	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	25	61	130	208	386	530	859	1074	1348	1404	1714	1803
25703196	abigail_durrant	Abigail Durrant	15	14	25	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	26	15	50	39	53	48	77	93	107	183	169
26060205	AbigaleStangl	Abigale Stangl	7	7	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	17	19	71	94
330704673	About3D	Justin Slick	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20874923	abramh	Abram Hindle	32	28	70	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	13	20	36	51	72	103	136	200	286	352	476	564	563	646
362100518	abstractourism	Bastian Kruck	3	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	11	16	15	29	23	35
17629607	abursuc	Andrei Bursuc	6	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	7	11	13	22	42	29	40
48019317	abuyuktur	Ayse G. Buyuktur	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16707495	acagamic	Lennart Nacke	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
375598592	_acahill	Aoife Cahill	22	17	41	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	28	48	48	74	58	69	107	91	77	69	114	108	122	154	161	209	106
173825634	acalatroni	Alberto Calatroni	17	16	27	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	69	69	125	137	150	198	197	267	234
14582359	acangiano	Antonio Cangiano	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
306802570	acapiluppi	Andrea Capiluppi	23	16	46	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	43	56	52	72	71	116	112	77	101	129	136	165	135	132	151	127
14234848	acfoltzer	Adam Foltzer	7	7	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	7	27	35	32	28
69819418	acherm	Mathieu Acher	23	22	48	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	25	81	153	195	255	268	277	260	255	303
26445061	achimnol	Joongi Kim	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	10	23	19	32	22
222099877	achimtweets	Achim Ebert	16	12	30	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	5	17	6	22	25	35	53	28	53	73	75	104	114	120	108	97	91
101848408	achint_db	Achint Setia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
265139899	achowdhery	Aakanksha Chowdhery	13	10	14	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	16	24	21	22	34	27	33	57	114	124
194236648	Acido_Rodriguez	Angel Rodríguez	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14450963	acoelhosantos	André C. Santos	12	10	16	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	13	24	40	43	55	53	45	49	56	61
20638573	acorsaro	Angelo Corsaro	18	9	26	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	21	69	77	81	63	45	66	60	58	58	79	43	62	43	64	55	72	67
15764285	acred5	Andrew Chong	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33546251	ActuallyMRJ	Matt Johnson	94	60	675	369	0	0	0	200	210	194	205	188	239	332	338	422	409	394	374	428	419	438	444	537	586	690	826	924	1087	1188	1351	1360	1547	1502	1639	1951	2202	3126	4761	6509	7822	9030	9463	9000
164292985	acunu_alice	Alice Paul	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46591424	ad688	Ayush Dubey	3	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	7	5	13	15	11
54767960	adailtulima	Adailton Lima	6	5	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	8	3	5	8	5	7	11	14	13	8	18	15
9332262	adamaig	Adam Ingram-goble	11	7	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	24	60	82	115	124	181	154	133	141	131	97	72
82644770	Adam__Bailey	Adam Bailey	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17207699	adambarth	Adam Barth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20812392	adamdoupe	Adam Doupé	16	16	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	35	59	80	72	135	207	295	265
84326705	adamfourney	Adam Fourney	13	11	17	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	2	8	7	20	17	25	36	48	42	39	54	162
24080232	adamgreatkind	Adam Goodkind	6	6	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	8	2	3	2	2	3	4	11	17	16	33	28
195274250	adamherout	Adam Herout	21	20	41	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	9	11	25	39	59	60	85	99	159	150	136	206	240	271
